DATE,Demand (MW),Season,TMP,DEW,HUMIDITY,Hour Number,Weekday,Month,Public Holiday,Wind Speed,Rainfall/Snowfall,Demand_lag24,Demand_roll24,Predicted Demand
2024-01-26 12:00:00,871.8648479040521,1,7,4.41,82,12,5,1,0,3.1,4.0,881.419590447972,858.8879623910826,871.8648479040521
2024-01-26 13:00:00,838.1367965553521,1,8,2.85,68,13,5,1,0,3.1,0.0,870.8691647683124,858.9312529622017,838.1367965553521
2024-01-26 14:00:00,855.0417475497712,1,9,1.15,58,14,5,1,0,10.8,0.0,858.5938310307662,858.0418166806619,855.0417475497712
2024-01-26 15:00:00,848.211240151146,1,9,1.11,58,15,5,1,0,10.8,0.0,869.9197816727007,857.3949456318389,848.211240151146
2024-01-26 16:00:00,862.0345425900684,1,9,1.15,58,16,5,1,0,9.3,0.0,882.579679215235,855.9006656725306,862.0345425900684
2024-01-26 17:00:00,861.1656429482335,1,11,2.25,56,17,5,1,0,9.3,0.0,874.5897125700359,855.35478871688,861.1656429482335
2024-01-26 18:00:00,913.958221080249,1,11,2.21,56,18,5,1,0,9.3,0.0,934.2135923928397,852.1787909149405,913.958221080249
2024-01-26 19:00:00,958.5467297218387,1,14,0.05,39,19,5,1,0,6.7,0.0,976.8219803198765,849.4455839914784,958.5467297218387
2024-01-26 20:00:00,966.6307706290253,1,14,-1.15,34,20,5,1,0,7.2,0.0,984.7979793796115,848.3042253107058,966.6307706290253
2024-01-26 21:00:00,955.9434688463157,1,14,-1.11,34,21,5,1,0,7.2,0.0,970.1953052665523,848.1492455438566,955.9434688463157
2024-01-26 22:00:00,912.7052562345064,1,16,-1.75,30,22,5,1,0,4.6,0.0,940.0669217558144,848.8395301999655,912.7052562345064
2024-01-26 23:00:00,882.4622873708283,1,14,-1.15,34,23,5,1,0,4.1,0.0,888.9946293230106,849.8704270222044,882.4622873708283
2024-01-27 00:00:00,814.909637852115,1,14,-1.11,34,0,6,1,0,4.6,0.0,823.4178316761537,852.4375772697989,814.909637852115
2024-01-27 01:00:00,750.4593137426401,1,12,1.15,48,1,6,1,0,3.1,0.0,761.3437160241795,854.7665303927525,750.4593137426401
2024-01-27 02:00:00,726.6997335654493,1,11,0.65,50,2,6,1,0,2.1,0.0,719.2679820480356,856.1226752490397,726.6997335654493
2024-01-27 03:00:00,713.333384279976,1,11,0.61,50,3,6,1,0,2.1,0.0,711.6737426590178,856.7759792014933,713.333384279976
2024-01-27 04:00:00,716.4600970583981,1,9,1.15,58,4,6,1,0,3.1,0.0,704.5714098561195,857.1569346112263,716.4600970583981
2024-01-27 05:00:00,734.7082142089893,1,8,1.15,63,5,6,1,0,3.1,0.0,752.5113840683789,855.5894873499226,734.7082142089893
2024-01-27 06:00:00,743.5099977418961,1,8,1.11,63,6,6,1,0,3.6,0.0,800.8235923830858,852.7149056901794,743.5099977418961
2024-01-27 07:00:00,789.7294699975346,1,7,1.75,70,7,6,1,0,2.1,0.0,885.5274259100433,846.54023490026,789.7294699975346
2024-01-27 08:00:00,813.1086441381257,1,5,1.15,76,8,6,1,0,1.5,0.0,907.3034215108769,841.4283239648972,813.1086441381257
